,symbol,metric,value
2457,CBRE,"AREAlexandria Real Estate Equities, Inc.",204.98
2464,CDW,Previous Close,191.08
2465,CDW,Open,191.47
2466,CDW,Bid,190.00 x 900
2467,CDW,Ask,190.81 x 1000
2468,CDW,Day's Range,190.31 - 192.75
2469,CDW,52 Week Range,125.46 - 203.82
2470,CDW,Volume,"427,897"
2471,CDW,Avg. Volume,"702,190"
2472,CDW,Market Cap,25.903B
2473,CDW,Beta (5Y Monthly),1.11
2474,CDW,PE Ratio (TTM),26.82
2475,CDW,EPS (TTM),7.12
2476,CDW,Earnings Date,"Feb 08, 2022 - Feb 14, 2022"
2477,CDW,Forward Dividend & Yield,2.00 (1.05%)
2478,CDW,Ex-Dividend Date,"Nov 23, 2021"
2479,CDW,1y Target Est,206.13
2486,CE,Previous Close,170.13
2487,CE,Open,170.37
2488,CE,Bid,167.52 x 1000
2489,CE,Ask,167.54 x 1000
2490,CE,Day's Range,167.13 - 171.25
2491,CE,52 Week Range,115.42 - 174.05
2492,CE,Volume,"470,381"
2493,CE,Avg. Volume,"662,723"
2494,CE,Market Cap,18.221B
2495,CE,Beta (5Y Monthly),1.26
2496,CE,PE Ratio (TTM),6.75
2497,CE,EPS (TTM),24.79
2498,CE,Earnings Date,"Jan 26, 2022 - Jan 31, 2022"
2499,CE,Forward Dividend & Yield,2.72 (1.60%)
2500,CE,Ex-Dividend Date,"Oct 29, 2021"
2501,CE,1y Target Est,190.17
2502,CE,Symbol,Last Price
2503,CE,EMNEastman Chemical Company,115.34
2504,CE,LYBLyondellBasell Industries N.V.,95.27
2505,CE,IFFInternational Flavors & Fragrances Inc.,151.01
2506,CE,ALLEAllegion plc,134.63
2507,CE,FMCFMC Corporation,106.57
2514,CNC,Previous Close,75.86
2515,CNC,Open,75.68
2516,CNC,Bid,0.00 x 800
2517,CNC,Ask,0.00 x 800
2518,CNC,Day's Range,74.80 - 76.05
2519,CNC,52 Week Range,57.16 - 76.17
2520,CNC,Volume,"2,580,840"
2521,CNC,Avg. Volume,"3,479,189"
2522,CNC,Market Cap,43.821B
2523,CNC,Beta (5Y Monthly),0.49
2524,CNC,PE Ratio (TTM),60.13
2525,CNC,EPS (TTM),1.25
2526,CNC,Earnings Date,"Feb 07, 2022 - Feb 11, 2022"
2527,CNC,Forward Dividend & Yield,N/A (N/A)
2528,CNC,Ex-Dividend Date,N/A
2529,CNC,1y Target Est,83.60
2530,CNC,Symbol,Last Price
2531,CNC,"ANTMAnthem, Inc.",434.39
2532,CNC,CICigna Corporation,215.53
2533,CNC,HUMHumana Inc.,438.19
2534,CNC,"MOHMolina Healthcare, Inc.",308.82
2535,CNC,"HCAHCA Healthcare, Inc.",242.56
2542,CNP,Previous Close,26.77
2543,CNP,Open,26.71
2544,CNP,Bid,26.00 x 2200
2545,CNP,Ask,26.99 x 2900
2546,CNP,Day's Range,26.23 - 26.79
2547,CNP,52 Week Range,19.31 - 27.20
2548,CNP,Volume,"3,444,808"
2549,CNP,Avg. Volume,"5,341,360"
2550,CNP,Market Cap,16.728B
2551,CNP,Beta (5Y Monthly),0.97
2552,CNP,PE Ratio (TTM),16.91
2553,CNP,EPS (TTM),1.57
2554,CNP,Earnings Date,"Nov 04, 2021"
2555,CNP,Forward Dividend & Yield,0.68 (2.56%)
2556,CNP,Ex-Dividend Date,"Nov 17, 2021"
2557,CNP,1y Target Est,28.62
2558,CNP,Symbol,Last Price
2559,CNP,CMSCMS Energy Corporation,60.00
2560,CNP,NINiSource Inc.,25.08
2561,CNP,EIXEdison International,64.24
2562,CNP,ETREntergy Corporation,101.60
2563,CNP,FEFirstEnergy Corp.,39.00
2570,CDAY,Previous Close,128.21
2571,CDAY,Open,123.69
2572,CDAY,Bid,120.94 x 900
2573,CDAY,Ask,121.11 x 800
2574,CDAY,Day's Range,119.04 - 124.17
2575,CDAY,52 Week Range,78.20 - 130.37
2576,CDAY,Volume,"922,301"
2577,CDAY,Avg. Volume,"1,369,495"
2578,CDAY,Market Cap,17.964B
2579,CDAY,Beta (5Y Monthly),1.36
2580,CDAY,PE Ratio (TTM),N/A
2581,CDAY,EPS (TTM),-0.42
2582,CDAY,Earnings Date,"Nov 03, 2021"
2583,CDAY,Forward Dividend & Yield,N/A (N/A)
2584,CDAY,Ex-Dividend Date,N/A
2585,CDAY,1y Target Est,156.55
2586,CDAY,Symbol,Last Price
2587,CDAY,"AVLRAvalara, Inc.",187.77
2588,CDAY,PCTYPaylocity Holding Corporation,298.08
2589,CDAY,SMARSmartsheet Inc.,70.87
2590,CDAY,WKWorkiva Inc.,168.61
2591,CDAY,"QTWOQ2 Holdings, Inc.",86.90
2598,CERN,Previous Close,76.67
2599,CERN,Open,76.67
2600,CERN,Bid,78.04 x 800
2601,CERN,Ask,78.08 x 900
2602,CERN,Day's Range,76.51 - 78.16
2603,CERN,52 Week Range,67.96 - 84.20
2604,CERN,Volume,"1,588,127"
2605,CERN,Avg. Volume,"2,095,560"
2606,CERN,Market Cap,22.961B
2607,CERN,Beta (5Y Monthly),0.74
2608,CERN,PE Ratio (TTM),45.91
2609,CERN,EPS (TTM),1.70
2610,CERN,Earnings Date,"Oct 29, 2021"
2611,CERN,Forward Dividend & Yield,0.88 (1.15%)
2612,CERN,Ex-Dividend Date,"Sep 24, 2021"
2613,CERN,1y Target Est,84.61
2614,CERN,Symbol,Last Price
2615,CERN,CTSHCognizant Technology Solutions Corporation,79.80
2616,CERN,"HSICHenry Schein, Inc.",78.86
2617,CERN,FASTFastenal Company,57.26
2618,CERN,XRAYDENTSPLY SIRONA Inc.,59.13
2619,CERN,"CHRWC.H. Robinson Worldwide, Inc.",94.59
2626,CF,Previous Close,64.57
2627,CF,Open,64.58
2628,CF,Bid,0.00 x 900
2629,CF,Ask,0.00 x 900
2630,CF,Day's Range,63.47 - 65.57
2631,CF,52 Week Range,31.72 - 65.58
2632,CF,Volume,"2,726,904"
2633,CF,Avg. Volume,"2,746,292"
2634,CF,Market Cap,14.059B
2635,CF,Beta (5Y Monthly),1.06
2636,CF,PE Ratio (TTM),47.50
2637,CF,EPS (TTM),1.38
2638,CF,Earnings Date,"Feb 15, 2022 - Feb 21, 2022"
2639,CF,Forward Dividend & Yield,1.20 (1.86%)
2640,CF,Ex-Dividend Date,"Nov 12, 2021"
2641,CF,1y Target Est,68.06
2642,CF,Symbol,Last Price
2643,CF,MOSThe Mosaic Company,37.89
2644,CF,FMCFMC Corporation,106.35
2645,CF,MONMonument Circle Acquisition Corp.,9.75
2646,CF,BGBunge Limited,96.15
2647,CF,EMNEastman Chemical Company,115.11
2654,CRL,Previous Close,385.91
2655,CRL,Open,384.45
2656,CRL,Bid,384.26 x 1000
2657,CRL,Ask,384.65 x 1100
2658,CRL,Day's Range,383.42 - 390.70
2659,CRL,52 Week Range,224.06 - 460.21
2660,CRL,Volume,"329,156"
2661,CRL,Avg. Volume,"372,873"
2662,CRL,Market Cap,19.406B
2663,CRL,Beta (5Y Monthly),1.13
2664,CRL,PE Ratio (TTM),49.80
2665,CRL,EPS (TTM),7.72
2666,CRL,Earnings Date,"Feb 15, 2022 - Feb 21, 2022"
2667,CRL,Forward Dividend & Yield,N/A (N/A)
2668,CRL,Ex-Dividend Date,N/A
2669,CRL,1y Target Est,438.73
2670,CRL,Symbol,Last Price
2671,CRL,TECHBio-Techne Corporation,501.77
2672,CRL,"COOThe Cooper Companies, Inc.",416.44
2673,CRL,"WSTWest Pharmaceutical Services, Inc.",422.46
2674,CRL,"BIOBio-Rad Laboratories, Inc.",753.84
2675,CRL,ICLRICON Public Limited Company,282.14
2682,SCHW,Previous Close,82.11
2683,SCHW,Open,82.49
2684,SCHW,Bid,0.00 x 1000
2685,SCHW,Ask,0.00 x 900
2686,SCHW,Day's Range,81.62 - 82.55
2687,SCHW,52 Week Range,46.25 - 84.49
2688,SCHW,Volume,"3,001,525"
2689,SCHW,Avg. Volume,"5,149,006"
2690,SCHW,Market Cap,154.878B
2691,SCHW,Beta (5Y Monthly),1.05
2692,SCHW,PE Ratio (TTM),31.18
2693,SCHW,EPS (TTM),2.63
2694,SCHW,Earnings Date,"Jan 17, 2022 - Jan 21, 2022"
2695,SCHW,Forward Dividend & Yield,0.72 (0.88%)
2696,SCHW,Ex-Dividend Date,"Nov 10, 2021"
2697,SCHW,1y Target Est,91.54
2698,SCHW,Symbol,Last Price
2699,SCHW,MSMorgan Stanley,100.21
2700,SCHW,BKThe Bank of New York Mellon Corporation,59.91
2701,SCHW,"BLKBlackRock, Inc.",953.24
2702,SCHW,STTState Street Corporation,99.92
2703,SCHW,COFCapital One Financial Corporation,156.36
2710,CHTR,Previous Close,689.35
2711,CHTR,Open,689.71
2712,CHTR,Bid,680.00 x 1000
2713,CHTR,Ask,719.50 x 900
2714,CHTR,Day's Range,689.71 - 696.98
2715,CHTR,52 Week Range,585.45 - 825.62
2716,CHTR,Volume,"732,807"
2717,CHTR,Avg. Volume,"905,216"
2718,CHTR,Market Cap,124.233B
2719,CHTR,Beta (5Y Monthly),0.96
2720,CHTR,PE Ratio (TTM),31.58
2721,CHTR,EPS (TTM),21.94
2722,CHTR,Earnings Date,"Jan 27, 2022 - Jan 31, 2022"
2723,CHTR,Forward Dividend & Yield,N/A (N/A)
2724,CHTR,Ex-Dividend Date,N/A
2725,CHTR,1y Target Est,798.89
2726,CHTR,Symbol,Last Price
2727,CHTR,DISHDISH Network Corporation,36.19
2728,CHTR,CMCSAComcast Corporation,53.38
2729,CHTR,MCOMoody's Corporation,390.78
2730,CHTR,FOXAFox Corporation,41.27
2731,CHTR,"TMUST-Mobile US, Inc.",117.77
2738,CVX,Previous Close,114.23
2739,CVX,Open,114.95
2740,CVX,Bid,0.00 x 900
2741,CVX,Ask,0.00 x 1100
2742,CVX,Day's Range,114.27 - 116.95
2743,CVX,52 Week Range,83.06 - 116.95
2744,CVX,Volume,"10,862,785"
2745,CVX,Avg. Volume,"10,734,631"
2746,CVX,Market Cap,225.193B
2747,CVX,Beta (5Y Monthly),1.28
2748,CVX,PE Ratio (TTM),22.58
2749,CVX,EPS (TTM),5.17
2750,CVX,Earnings Date,"Jan 27, 2022 - Jan 31, 2022"
2751,CVX,Forward Dividend & Yield,5.36 (4.69%)
2752,CVX,Ex-Dividend Date,"Nov 17, 2021"
2753,CVX,1y Target Est,127.92
2754,CVX,Symbol,Last Price
2755,CVX,XOMExxon Mobil Corporation,64.37
2756,CVX,COPConocoPhillips,72.72
2757,CVX,JNJJohnson & Johnson,163.52
2758,CVX,BPBP p.l.c.,27.55
2759,CVX,PGThe Procter & Gamble Company,147.40
2766,CMG,Previous Close,"1,863.00"
2767,CMG,Open,"1,870.00"
2768,CMG,Bid,"1,836.00 x 900"
2769,CMG,Ask,"1,838.75 x 1000"
2770,CMG,Day's Range,"1,832.81 - 1,895.99"
2771,CMG,52 Week Range,"1,241.38 - 1,958.55"
2772,CMG,Volume,"181,878"
2773,CMG,Avg. Volume,"228,553"
2774,CMG,Market Cap,51.714B
2775,CMG,Beta (5Y Monthly),1.25
2776,CMG,PE Ratio (TTM),73.80
2777,CMG,EPS (TTM),24.91
2778,CMG,Earnings Date,"Jan 31, 2022 - Feb 04, 2022"
2779,CMG,Forward Dividend & Yield,N/A (N/A)
2780,CMG,Ex-Dividend Date,N/A
2781,CMG,1y Target Est,"2,008.21"
2782,CMG,Symbol,Last Price
2783,CMG,SBUXStarbucks Corporation,111.95
2784,CMG,LULULululemon Athletica Inc.,462.22
2785,CMG,"UAUnder Armour, Inc.",21.83
2786,CMG,COSTCostco Wholesale Corporation,518.67
2787,CMG,"CRMsalesforce.com, inc.",305.11
2794,CB,Previous Close,192.84
2795,CB,Open,193.35
2796,CB,Bid,0.00 x 900
2797,CB,Ask,192.78 x 1800
2798,CB,Day's Range,192.20 - 194.15
2799,CB,52 Week Range,144.00 - 197.92
2800,CB,Volume,"873,594"
2801,CB,Avg. Volume,"1,655,269"
2802,CB,Market Cap,83.202B
2803,CB,Beta (5Y Monthly),0.80
2804,CB,PE Ratio (TTM),9.82
2805,CB,EPS (TTM),19.67
2806,CB,Earnings Date,"Jan 31, 2022 - Feb 04, 2022"
2807,CB,Forward Dividend & Yield,3.20 (1.66%)
2808,CB,Ex-Dividend Date,"Sep 16, 2021"
2809,CB,1y Target Est,N/A
2810,CB,Symbol,Last Price
2811,CB,CINFCincinnati Financial Corporation,121.48
2812,CB,AFLAflac Incorporated,57.57
2813,CB,"BENFranklin Resources, Inc.",35.74
2814,CB,DOVDover Corporation,173.50
2815,CB,"APDAir Products and Chemicals, Inc.",303.80
2822,CHD,Previous Close,87.36
2823,CHD,Open,87.87
2824,CHD,Bid,83.49 x 1400
2825,CHD,Ask,87.60 x 800
2826,CHD,Day's Range,86.89 - 88.52
2827,CHD,52 Week Range,77.62 - 91.86
2828,CHD,Volume,"1,473,309"
2829,CHD,Avg. Volume,"1,174,007"
2830,CHD,Market Cap,21.519B
2831,CHD,Beta (5Y Monthly),0.38
2832,CHD,PE Ratio (TTM),26.74
2833,CHD,EPS (TTM),3.28
2834,CHD,Earnings Date,"Jan 27, 2022 - Jan 31, 2022"
2835,CHD,Forward Dividend & Yield,1.01 (1.16%)
2836,CHD,Ex-Dividend Date,"Nov 12, 2021"
2837,CHD,1y Target Est,90.36
2838,CHD,Symbol,Last Price
2839,CHD,"MKCMcCormick & Company, Incorporated",80.69
2840,CHD,HRLHormel Foods Corporation,42.95
2841,CHD,ECLEcolab Inc.,222.52
2842,CHD,SJMThe J. M. Smucker Company,123.62
2843,CHD,"AMEAMETEK, Inc.",134.05
2850,CI,Previous Close,217.70
2851,CI,Open,218.44
2852,CI,Bid,217.45 x 1400
2853,CI,Ask,221.47 x 900
2854,CI,Day's Range,217.38 - 219.83
2855,CI,52 Week Range,190.88 - 272.81
2856,CI,Volume,"1,458,198"
2857,CI,Avg. Volume,"1,949,903"
2858,CI,Market Cap,72.162B
2859,CI,Beta (5Y Monthly),0.87
2860,CI,PE Ratio (TTM),9.06
2861,CI,EPS (TTM),24.03
2862,CI,Earnings Date,"Feb 02, 2022 - Feb 07, 2022"
2863,CI,Forward Dividend & Yield,4.00 (1.84%)
2864,CI,Ex-Dividend Date,"Dec 06, 2021"
2865,CI,1y Target Est,262.08
2866,CI,Symbol,Last Price
2867,CI,HUMHumana Inc.,445.42
2868,CI,"ANTMAnthem, Inc.",437.01
2869,CI,CNCCentene Corporation,75.86
2870,CI,UNHUnitedHealth Group Incorporated,458.99
2871,CI,"HCAHCA Healthcare, Inc.",245.27
2878,CINF,Previous Close,121.44
2879,CINF,Open,121.82
2880,CINF,Bid,119.45 x 900
2881,CINF,Ask,119.53 x 900
2882,CINF,Day's Range,118.43 - 122.30
2883,CINF,52 Week Range,71.20 - 127.00
2884,CINF,Volume,"282,501"
2885,CINF,Avg. Volume,"432,590"
2886,CINF,Market Cap,19.26B
2887,CINF,Beta (5Y Monthly),0.70
2888,CINF,PE Ratio (TTM),7.70
2889,CINF,EPS (TTM),15.53
2890,CINF,Earnings Date,"Oct 27, 2021"
2891,CINF,Forward Dividend & Yield,2.52 (2.08%)
2892,CINF,Ex-Dividend Date,"Sep 15, 2021"
2893,CINF,1y Target Est,125.20
2894,CINF,Symbol,Last Price
2895,CINF,DOVDover Corporation,169.46
2896,CINF,CBChubb Limited,191.18
2897,CINF,"LEGLeggett & Platt, Incorporated",48.12
2898,CINF,GPCGenuine Parts Company,131.42
2899,CINF,CTASCintas Corporation,430.37
2906,CTAS,Previous Close,433.10
2907,CTAS,Open,434.58
2908,CTAS,Bid,430.74 x 900
2909,CTAS,Ask,436.34 x 1300
2910,CTAS,Day's Range,429.93 - 436.08
2911,CTAS,52 Week Range,314.62 - 436.34
2912,CTAS,Volume,"216,281"
2913,CTAS,Avg. Volume,"361,839"
2914,CTAS,Market Cap,44.54B
2915,CTAS,Beta (5Y Monthly),1.46
2916,CTAS,PE Ratio (TTM),40.78
2917,CTAS,EPS (TTM),10.56
2918,CTAS,Earnings Date,"Dec 20, 2021 - Dec 24, 2021"
2919,CTAS,Forward Dividend & Yield,3.80 (0.88%)
2920,CTAS,Ex-Dividend Date,"Nov 12, 2021"
2921,CTAS,1y Target Est,421.00
2922,CTAS,Symbol,Last Price
2923,CTAS,DOVDover Corporation,169.76
2924,CTAS,CINFCincinnati Financial Corporation,120.49
2925,CTAS,"GWWW.W. Grainger, Inc.",467.92
2926,CTAS,"EXPDExpeditors International of Washington, Inc.",125.84
2927,CTAS,ECLEcolab Inc.,222.52
2934,CSCO,Previous Close,57.00
2935,CSCO,Open,57.07
2936,CSCO,Bid,57.45 x 2900
2937,CSCO,Ask,57.46 x 2200
2938,CSCO,Day's Range,56.90 - 57.63
2939,CSCO,52 Week Range,38.17 - 60.27
2940,CSCO,Volume,"7,937,395"
2941,CSCO,Avg. Volume,"15,955,190"
2942,CSCO,Market Cap,242.282B
2943,CSCO,Beta (5Y Monthly),0.90
2944,CSCO,PE Ratio (TTM),22.98
2945,CSCO,EPS (TTM),2.50
2946,CSCO,Earnings Date,"Nov 10, 2021 - Nov 15, 2021"
2947,CSCO,Forward Dividend & Yield,1.48 (2.60%)
2948,CSCO,Ex-Dividend Date,"Oct 04, 2021"
2949,CSCO,1y Target Est,62.70
2950,CSCO,Symbol,Last Price
2951,CSCO,INTCIntel Corporation,51.11
2952,CSCO,ORCLOracle Corporation,94.39
2953,CSCO,IBMInternational Business Machines Corporation,120.84
2954,CSCO,QCOMQUALCOMM Incorporated,166.12
2955,CSCO,MSFTMicrosoft Corporation,335.68
2962,C,Previous Close,68.45
2963,C,Open,67.78
2964,C,Bid,67.92 x 1000
2965,C,Ask,67.93 x 1000
2966,C,Day's Range,67.44 - 68.24
2967,C,52 Week Range,47.45 - 80.29
2968,C,Volume,"11,211,498"
2969,C,Avg. Volume,"18,375,861"
2970,C,Market Cap,134.714B
2971,C,Beta (5Y Monthly),1.83
2972,C,PE Ratio (TTM),6.43
2973,C,EPS (TTM),10.56
2974,C,Earnings Date,"Jan 14, 2022"
2975,C,Forward Dividend & Yield,2.04 (3.05%)
2976,C,Ex-Dividend Date,"Oct 29, 2021"
2977,C,1y Target Est,85.00
2978,C,Symbol,Last Price
2979,C,BACBank of America Corporation,46.84
2980,C,JPMJPMorgan Chase & Co.,167.27
2981,C,WFCWells Fargo & Company,49.76
2982,C,"GSThe Goldman Sachs Group, Inc.",402.81
2983,C,FFord Motor Company,20.12
2988,CFG,Previous Close,49.36
2989,CFG,Open,49.54
2990,CFG,Bid,0.00 x 900
2991,CFG,Ask,0.00 x 1000
2992,CFG,Day's Range,49.23 - 50.04
2993,CFG,52 Week Range,31.75 - 51.14
2994,CFG,Volume,"5,093,507"
2995,CFG,Avg. Volume,"4,173,483"
2996,CFG,Market Cap,21.289B
2997,CFG,Beta (5Y Monthly),1.63
2998,CFG,PE Ratio (TTM),10.03
2999,CFG,EPS (TTM),4.98
3000,CFG,Earnings Date,"Jan 19, 2022"
3001,CFG,Forward Dividend & Yield,1.56 (3.12%)
3002,CFG,Ex-Dividend Date,"Oct 28, 2021"
3003,CFG,1y Target Est,54.41
3004,CFG,Symbol,Last Price
3005,CFG,CMAComerica Incorporated,89.58
3006,CFG,TFCTruist Financial Corporation,63.28
3007,CFG,FRCFirst Republic Bank,219.76
3008,CFG,"ZIONZions Bancorporation, National Association",66.35
3009,CFG,SYFSynchrony Financial,50.13
3016,CTXS,Previous Close,89.68
3017,CTXS,Open,89.42
3018,CTXS,Bid,86.40 x 1100
3019,CTXS,Ask,91.98 x 800
3020,CTXS,Day's Range,85.20 - 89.42
3021,CTXS,52 Week Range,85.20 - 145.19
3022,CTXS,Volume,"2,665,011"
3023,CTXS,Avg. Volume,"1,560,801"
3024,CTXS,Market Cap,10.871B
3025,CTXS,Beta (5Y Monthly),-0.03
3026,CTXS,PE Ratio (TTM),34.61
3027,CTXS,EPS (TTM),2.52
3028,CTXS,Earnings Date,"Jan 17, 2022 - Jan 21, 2022"
3029,CTXS,Forward Dividend & Yield,1.48 (1.69%)
3030,CTXS,Ex-Dividend Date,"Dec 06, 2021"
3031,CTXS,1y Target Est,105.60
3032,CTXS,Symbol,Last Price
3033,CTXS,"NTAPNetApp, Inc.",88.86
3034,CTXS,"VRSNVeriSign, Inc.",239.21
3035,CTXS,"FFIVF5 Networks, Inc.",230.97
3036,CTXS,"AKAMAkamai Technologies, Inc.",108.48
3037,CTXS,INTUIntuit Inc.,626.14
3044,CLX,Previous Close,165.94
3045,CLX,Open,166.25
3046,CLX,Bid,166.04 x 800
3047,CLX,Ask,167.00 x 1100
3048,CLX,Day's Range,165.01 - 166.98
3049,CLX,52 Week Range,156.23 - 231.11
3050,CLX,Volume,"795,241"
3051,CLX,Avg. Volume,"1,232,885"
3052,CLX,Market Cap,20.4B
3053,CLX,Beta (5Y Monthly),0.16
3054,CLX,PE Ratio (TTM),47.89
3055,CLX,EPS (TTM),3.47
3056,CLX,Earnings Date,"Feb 02, 2022 - Feb 07, 2022"
3057,CLX,Forward Dividend & Yield,4.64 (2.80%)
3058,CLX,Ex-Dividend Date,"Oct 26, 2021"
3059,CLX,1y Target Est,162.03
3060,CLX,Symbol,Last Price
3061,CLX,CLColgate-Palmolive Company,78.03
3062,CLX,KMBKimberly-Clark Corporation,133.91
3063,CLX,"GISGeneral Mills, Inc.",63.24
3064,CLX,"MKCMcCormick & Company, Incorporated",81.76
3065,CLX,CPBCampbell Soup Company,41.55
3072,CME,Previous Close,224.85
3073,CME,Open,224.43
3074,CME,Bid,222.01 x 1000
3075,CME,Ask,227.50 x 800
3076,CME,Day's Range,223.99 - 226.79
3077,CME,52 Week Range,163.52 - 230.89
3078,CME,Volume,"1,496,680"
3079,CME,Avg. Volume,"1,341,463"
3080,CME,Market Cap,81.468B
3081,CME,Beta (5Y Monthly),0.48
3082,CME,PE Ratio (TTM),33.43
3083,CME,EPS (TTM),6.78
3084,CME,Earnings Date,"Feb 08, 2022 - Feb 14, 2022"
3085,CME,Forward Dividend & Yield,3.60 (1.60%)
3086,CME,Ex-Dividend Date,"Dec 09, 2021"
3087,CME,1y Target Est,224.13
3088,CME,Symbol,Last Price
3089,CME,"ICEIntercontinental Exchange, Inc.",135.29
3090,CME,"CBOECboe Global Markets, Inc.",131.00
3091,CME,"NDAQNasdaq, Inc.",209.73
3092,CME,"BLKBlackRock, Inc.",953.24
3093,CME,CBChubb Limited,193.16
3100,CMS,Previous Close,61.06
3101,CMS,Open,61.06
3102,CMS,Bid,60.55 x 900
3103,CMS,Ask,60.57 x 800
3104,CMS,Day's Range,60.52 - 61.08
3105,CMS,52 Week Range,53.19 - 67.98
3106,CMS,Volume,"298,758"
3107,CMS,Avg. Volume,"1,479,595"
3108,CMS,Market Cap,17.553B
3109,CMS,Beta (5Y Monthly),0.21
3110,CMS,PE Ratio (TTM),19.33
3111,CMS,EPS (TTM),3.13
3112,CMS,Earnings Date,"Oct 28, 2021"
3113,CMS,Forward Dividend & Yield,1.74 (2.85%)
3114,CMS,Ex-Dividend Date,"Aug 05, 2021"
3115,CMS,1y Target Est,67.31
3116,CMS,Symbol,Last Price
3117,CMS,DTEDTE Energy Company,116.45
3118,CMS,"CNPCenterPoint Energy, Inc.",26.78
3119,CMS,AEEAmeren Corporation,84.97
3120,CMS,ETREntergy Corporation,104.35
3121,CMS,LNTAlliant Energy Corporation,56.85
3128,KO,Previous Close,56.74
3129,KO,Open,56.75
3130,KO,Bid,56.61 x 1300
3131,KO,Ask,56.65 x 3200
3132,KO,Day's Range,56.54 - 56.99
3133,KO,52 Week Range,48.11 - 57.56
3134,KO,Volume,"10,149,499"
3135,KO,Avg. Volume,"14,074,373"
3136,KO,Market Cap,244.522B
3137,KO,Beta (5Y Monthly),0.66
3138,KO,PE Ratio (TTM),27.87
3139,KO,EPS (TTM),2.03
3140,KO,Earnings Date,"Feb 08, 2022 - Feb 14, 2022"
3141,KO,Forward Dividend & Yield,1.68 (2.97%)
3142,KO,Ex-Dividend Date,"Nov 30, 2021"
3143,KO,1y Target Est,62.10
3144,KO,Symbol,Last Price
3145,KO,PGThe Procter & Gamble Company,146.56
3146,KO,DISThe Walt Disney Company,159.63
3147,KO,JNJJohnson & Johnson,165.01
3148,KO,VZVerizon Communications Inc.,52.34
3149,KO,"HDThe Home Depot, Inc.",372.63
3156,CTSH,Previous Close,81.98
3157,CTSH,Open,82.29
3158,CTSH,Bid,80.01 x 2900
3159,CTSH,Ask,82.70 x 1300
3160,CTSH,Day's Range,81.72 - 82.68
3161,CTSH,52 Week Range,66.19 - 82.73
3162,CTSH,Volume,"1,782,322"
3163,CTSH,Avg. Volume,"2,430,404"
3164,CTSH,Market Cap,43.06B
3165,CTSH,Beta (5Y Monthly),1.14
3166,CTSH,PE Ratio (TTM),23.12
3167,CTSH,EPS (TTM),3.55
3168,CTSH,Earnings Date,"Feb 01, 2022 - Feb 07, 2022"
3169,CTSH,Forward Dividend & Yield,0.96 (1.18%)
3170,CTSH,Ex-Dividend Date,"Nov 18, 2021"
3171,CTSH,1y Target Est,86.52
3172,CTSH,Symbol,Last Price
3173,CTSH,INFYInfosys Limited,23.63
3174,CTSH,WITWipro Limited,9.05
3175,CTSH,"FISVFiserv, Inc.",101.84
3176,CTSH,"CTXSCitrix Systems, Inc.",87.16
3177,CTSH,"ADSKAutodesk, Inc.",326.39
3184,CL,Previous Close,77.99
3185,CL,Open,77.92
3186,CL,Bid,77.55 x 1100
3187,CL,Ask,79.00 x 900
3188,CL,Day's Range,77.66 - 78.46
3189,CL,52 Week Range,74.01 - 86.41
3190,CL,Volume,"3,054,455"
3191,CL,Avg. Volume,"3,868,778"
3192,CL,Market Cap,65.768B
3193,CL,Beta (5Y Monthly),0.57
3194,CL,PE Ratio (TTM),24.85
3195,CL,EPS (TTM),3.14
3196,CL,Earnings Date,"Jan 28, 2022"
3197,CL,Forward Dividend & Yield,1.80 (2.31%)
3198,CL,Ex-Dividend Date,"Oct 20, 2021"
3199,CL,1y Target Est,84.45
3200,CL,Symbol,Last Price
3201,CL,CLXThe Clorox Company,166.04
3202,CL,KMBKimberly-Clark Corporation,133.91
3203,CL,"GISGeneral Mills, Inc.",63.24
3204,CL,"PEPPepsiCo, Inc.",162.65
3205,CL,EMREmerson Electric Co.,97.42
3212,CMCSA,Previous Close,53.50
3213,CMCSA,Open,53.45
3214,CMCSA,Bid,0.00 x 900
3215,CMCSA,Ask,0.00 x 2900
3216,CMCSA,Day's Range,53.24 - 53.73
3217,CMCSA,52 Week Range,48.15 - 61.80
3218,CMCSA,Volume,"9,970,298"
3219,CMCSA,Avg. Volume,"16,622,807"
3220,CMCSA,Market Cap,243.889B
3221,CMCSA,Beta (5Y Monthly),0.97
3222,CMCSA,PE Ratio (TTM),17.17
3223,CMCSA,EPS (TTM),3.11
3224,CMCSA,Earnings Date,"Jan 26, 2022 - Jan 31, 2022"
3225,CMCSA,Forward Dividend & Yield,1.00 (1.87%)
3226,CMCSA,Ex-Dividend Date,"Jan 04, 2022"
3227,CMCSA,1y Target Est,65.49
3228,CMCSA,Symbol,Last Price
3229,CMCSA,VZVerizon Communications Inc.,52.40
3230,CMCSA,CVSCVS Health Corporation,93.49
3231,CMCSA,"PEPPepsiCo, Inc.",163.80
3232,CMCSA,"CHTRCharter Communications, Inc.",692.91
3233,CMCSA,UNHUnitedHealth Group Incorporated,450.80
3240,CMA,Previous Close,88.39
3241,CMA,Open,88.75
3242,CMA,Bid,85.29 x 800
3243,CMA,Ask,90.00 x 1000
3244,CMA,Day's Range,88.16 - 89.04
3245,CMA,52 Week Range,41.34 - 89.04
3246,CMA,Volume,"716,040"
3247,CMA,Avg. Volume,"1,355,473"
3248,CMA,Market Cap,11.622B
3249,CMA,Beta (5Y Monthly),1.52
